tau,n_boot,caar_neg_mean,caar_neg_ci_low,caar_neg_ci_high,n_events_neg,caar_pos_mean,caar_pos_ci_low,caar_pos_ci_high,n_events_pos
0,1000,0.0034390018834526337,0.0015736239585122443,0.005326205177909586,135,-0.006122596550273111,-0.011398272995643964,-0.0010127725605323554,135
1,1000,0.00298743707912859,-9.497325847641017e-05,0.006023384766512551,89,-0.0014449548375755725,-0.007512010856136706,0.004811310160386053,104
2,1000,0.0016802572478921405,-0.0027340232962576546,0.0061385170986801,62,-0.0056206195594195076,-0.01760473021438679,0.0066195173771278724,73
3,1000,-0.0016272102999638546,-0.007265801947718459,0.004449793880055928,49,-0.008232992644564056,-0.02809129448661454,0.00998449654995325,41
4,1000,-0.003941944923535146,-0.01135138930791424,0.003339415160007676,24,-0.02812174588994391,-0.06064237088467843,0.0013711685297606417,15
